,Real,Predicted,Set
56497,1,1,Train
42895,1,1,Train
30853,0,1,Train
53304,1,1,Train
2513,0,1,Train
61839,1,1,Train
79520,1,1,Train
57339,1,1,Train
3231,0,1,Train
61520,1,1,Train
26381,0,1,Train
80368,1,1,Train
11362,0,1,Train
11152,0,1,Train
15561,0,1,Train
22599,0,1,Train
58193,1,1,Train
7356,0,1,Train
71798,1,1,Train
9563,0,1,Train
61307,1,1,Train
68538,1,1,Train
64477,1,1,Train
67798,1,1,Train
10120,0,1,Train
53066,1,1,Train
75218,1,1,Train
65872,1,1,Train
73604,1,1,Train
60412,1,1,Train
67548,1,1,Train
41031,1,1,Train
55794,1,1,Train
30264,0,1,Train
12553,0,1,Train
37053,0,1,Train
13710,0,1,Train
29125,0,1,Train
72448,1,1,Train
680,0,1,Train
71353,1,1,Train
33273,0,1,Train
39894,0,1,Train
18858,0,1,Train
66749,1,1,Train
13623,0,1,Train
2262,0,1,Train
4389,0,1,Train
27308,0,1,Train
33509,0,1,Train
71167,1,1,Train
43366,1,1,Train
73466,1,1,Train
49367,1,1,Train
470,0,1,Train
70388,1,1,Train
55392,1,1,Train
36868,0,1,Train
24385,0,1,Train
41192,1,1,Train
43279,1,1,Train
55397,1,1,Train
79175,1,1,Train
9624,0,1,Train
23979,0,1,Train
11392,0,1,Train
70718,1,1,Train
16678,0,1,Train
33610,0,1,Train
6034,0,1,Train
8256,0,1,Train
32590,0,1,Train
45863,1,1,Train
66762,1,1,Train
18352,0,1,Train
16638,0,1,Train
12791,0,1,Train
72292,1,1,Train
51972,1,1,Train
66915,1,1,Train
47748,1,1,Train
65183,1,1,Train
21371,0,1,Train
47308,1,1,Train
54492,1,1,Train
55091,1,1,Train
41231,1,1,Train
21126,0,1,Train
37848,0,1,Train
17969,0,1,Train
67006,1,1,Train
6145,0,1,Train
41523,1,1,Train
75956,1,1,Train
25014,0,1,Train
10241,0,1,Train
65573,1,1,Train
5369,0,1,Train
2753,0,1,Train
20660,0,1,Train
57543,1,1,Train
4557,0,1,Train
79189,1,1,Train
14644,0,1,Train
35009,0,1,Train
74268,1,1,Train
19080,1,1,Train
32072,0,1,Train
8230,0,1,Train
61033,1,1,Train
71453,1,1,Train
10904,0,1,Train
36699,0,1,Train
16657,0,1,Train
54885,1,1,Train
15147,0,1,Train
27556,0,1,Train
1599,0,1,Train
15842,0,1,Train
58125,1,1,Train
55890,1,1,Train
74106,1,1,Train
43468,1,1,Train
62227,1,1,Train
66357,1,1,Train
45006,1,1,Train
6839,0,1,Train
65583,1,1,Train
76948,1,1,Train
30205,0,1,Train
39231,0,1,Train
11384,0,1,Train
51086,1,1,Train
25967,0,1,Train
38920,0,1,Train
77448,1,1,Train
72512,1,1,Train
60470,1,1,Train
74900,1,1,Train
50685,1,1,Train
59475,1,1,Train
49319,1,1,Train
50082,1,1,Train
44017,1,1,Train
17520,0,1,Train
12945,0,1,Train
28877,0,1,Train
21461,0,1,Train
4204,0,1,Train
59923,1,1,Train
25558,0,1,Train
30204,0,1,Train
74949,1,1,Train
5657,0,1,Train
19002,0,1,Train
49176,1,1,Train
75170,1,1,Train
28792,1,1,Train
15721,0,1,Train
44360,1,1,Train
58238,1,1,Train
10186,0,1,Train
45568,1,1,Train
