,invoice_id,city,customer_type,gender,product_line,unit_price,total,date,time,payment,rating,quantity_boxcox
0,750-67-8428,Yangon,Member,Female,Health and beauty,0.43186861961828654,0.8506768157502478,1/5/2019,13:08,Ewallet,0.6999999999999998,0.38545634812525154
1,226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,-0.886595650244119,-0.5004729008875405,3/8/2019,10:29,Cash,0.8666666666666666,0.0
2,631-41-3108,Yangon,Normal,Male,Home and lifestyle,-0.19751442521083012,0.24984299690533665,3/3/2019,13:23,Credit card,0.13333333333333344,0.38545634812525154
3,123-19-1176,Yangon,Member,Male,Health and beauty,0.0663559698180203,0.6779507123778971,1/27/2019,20:33,Ewallet,0.4666666666666668,0.5659508842318487
4,373-73-7910,Yangon,Normal,Male,Sports and travel,0.6897470039946737,1.0968576681824718,2/8/2019,10:37,Ewallet,-0.5666666666666668,0.38545634812525154
5,699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,0.6693297825122059,1.077366585201607,3/25/2019,18:30,Ewallet,-0.9666666666666668,0.38545634812525154
6,355-53-5943,Yangon,Member,Female,Electronic accessories,0.30204172214824676,0.5183901697146706,2/25/2019,14:36,Ewallet,-0.4000000000000001,0.19736741909178362
7,315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,0.4067909454061251,1.494639195538842,2/24/2019,11:38,Ewallet,0.3333333333333333,0.908681075617868
8,665-32-9167,Yangon,Member,Female,Health and beauty,-0.4209942299156681,-0.5122159757269433,1/10/2019,17:15,Credit card,0.06666666666666672,-0.6821010387299857
9,692-92-5582,Mandalay,Member,Female,Food and beverages,-0.008655126498002675,-0.23377193314316416,2/20/2019,13:27,Credit card,-0.36666666666666653,-0.4340491157681513
10,351-62-0822,Mandalay,Member,Female,Fashion accessories,-0.9043497558810475,-0.556403834658717,2/6/2019,18:07,Ewallet,-0.8333333333333334,-0.20913662370082098
11,529-56-3974,Mandalay,Member,Male,Electronic accessories,-0.6595650244118952,-0.4228717568457133,3/9/2019,17:03,Cash,-0.06666666666666672,-0.20913662370082098
12,365-64-0515,Yangon,Normal,Female,Electronic accessories,-0.1837549933422104,-0.021216225418611873,2/12/2019,10:25,Ewallet,0.033333333333333215,0.0
13,252-56-2699,Yangon,Normal,Male,Food and beverages,-0.2671992898357746,0.5754711984443452,2/7/2019,16:48,Ewallet,0.39999999999999974,0.908681075617868
14,829-34-3910,Yangon,Normal,Female,Health and beauty,0.3584110075454947,1.4286600637092077,3/29/2019,19:21,Cash,-0.4333333333333333,0.908681075617868
