,invoice_id,city,customer_type,gender,product_line,unit_price,total,date,time,payment,rating,quantity_boxcox
0,750-67-8428,Yangon,Member,Female,Health and beauty,74.69,548.9715,1/5/2019,13:08,Ewallet,9.1,4.212101622901667
1,226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,15.28,80.22,3/8/2019,10:29,Cash,9.6,3.0149150175902197
2,631-41-3108,Yangon,Normal,Male,Home and lifestyle,46.33,340.5255,3/3/2019,13:23,Credit card,7.4,4.212101622901667
3,123-19-1176,Yangon,Member,Male,Health and beauty,58.22,489.048,1/27/2019,20:33,Ewallet,8.4,4.77269854135871
4,373-73-7910,Yangon,Normal,Male,Sports and travel,86.31,634.3785,2/8/2019,10:37,Ewallet,5.3,4.212101622901667
5,699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,85.39,627.6165,3/25/2019,18:30,Ewallet,4.1,4.212101622901667
6,355-53-5943,Yangon,Member,Female,Electronic accessories,68.84,433.692,2/25/2019,14:36,Ewallet,5.8,3.6279173241050797
7,315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,73.56,772.38,2/24/2019,11:38,Ewallet,8.0,5.837182227666667
8,665-32-9167,Yangon,Member,Female,Health and beauty,36.26,76.146,1/10/2019,17:15,Credit card,7.2,0.8963814118829055
9,692-92-5582,Mandalay,Member,Female,Food and beverages,54.84,172.746,2/20/2019,13:27,Credit card,5.9,1.6668044209629331
10,351-62-0822,Mandalay,Member,Female,Fashion accessories,14.48,60.816,2/6/2019,18:07,Ewallet,4.5,2.365358807678416
11,529-56-3974,Mandalay,Member,Male,Electronic accessories,25.51,107.142,3/9/2019,17:03,Cash,6.8,2.365358807678416
12,365-64-0515,Yangon,Normal,Female,Electronic accessories,46.95,246.4875,2/12/2019,10:25,Ewallet,7.1,3.0149150175902197
13,252-56-2699,Yangon,Normal,Male,Food and beverages,43.19,453.495,2/7/2019,16:48,Ewallet,8.2,5.837182227666667
14,829-34-3910,Yangon,Normal,Female,Health and beauty,71.38,749.49,3/29/2019,19:21,Cash,5.7,5.837182227666667
15,299-46-1805,Mandalay,Member,Female,Sports and travel,93.72,590.436,1/15/2019,16:19,Cash,4.5,3.6279173241050797
16,656-95-9349,Yangon,Member,Female,Health and beauty,68.93,506.6355,3/11/2019,11:03,Credit card,4.6,4.212101622901667
17,765-26-6951,Yangon,Normal,Male,Sports and travel,72.61,457.443,1/1/2019,10:39,Credit card,6.9,3.6279173241050797
18,329-62-1586,Yangon,Normal,Male,Food and beverages,54.67,172.2105,1/21/2019,18:00,Credit card,8.6,1.6668044209629331
19,319-50-3348,Mandalay,Normal,Female,Home and lifestyle,40.3,84.63,3/11/2019,15:30,Ewallet,4.4,0.8963814118829055
20,300-71-4605,Naypyitaw,Member,Male,Electronic accessories,86.04,451.71,2/25/2019,11:24,Ewallet,4.8,3.0149150175902197
21,371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,277.137,3/5/2019,10:40,Ewallet,5.1,1.6668044209629331
22,273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.2,69.72,3/15/2019,12:20,Credit card,4.4,0.8963814118829055
23,636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,181.44,2/17/2019,11:15,Ewallet,9.9,3.0149150175902197
24,549-59-1358,Yangon,Member,Male,Sports and travel,88.63,279.1845,3/2/2019,17:36,Ewallet,6.0,1.6668044209629331
25,227-03-5010,Yangon,Member,Female,Home and lifestyle,52.59,441.756,3/22/2019,19:20,Credit card,8.5,4.77269854135871
26,649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,35.196,2/8/2019,15:31,Cash,6.7,0.0
27,189-17-4241,Yangon,Normal,Female,Fashion accessories,87.67,184.107,3/10/2019,12:17,Credit card,7.7,0.8963814118829055
28,145-94-9061,Mandalay,Normal,Female,Food and beverages,88.36,463.89,1/25/2019,19:48,Cash,9.6,3.0149150175902197
29,848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,235.2105,3/15/2019,15:36,Cash,7.4,5.313457077557497
30,871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,494.1825,2/25/2019,19:39,Credit card,4.8,3.0149150175902197
31,149-71-6266,Mandalay,Member,Male,Sports and travel,78.07,737.7615,1/28/2019,12:43,Cash,4.5,5.313457077557497
32,640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,703.752,1/10/2019,14:49,Cash,5.1,4.77269854135871
33,595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,202.818,3/15/2019,10:12,Credit card,5.1,0.8963814118829055
34,183-56-6882,Naypyitaw,Member,Female,Food and beverages,99.42,417.564,2/6/2019,10:42,Ewallet,7.5,2.365358807678416
35,232-16-2483,Naypyitaw,Member,Female,Sports and travel,68.12,71.526,1/7/2019,12:28,Ewallet,6.8,0.0
36,129-29-8530,Yangon,Member,Male,Sports and travel,62.62,328.755,3/10/2019,19:15,Ewallet,7.0,3.0149150175902197
37,272-65-1806,Yangon,Normal,Female,Electronic accessories,60.88,575.316,1/15/2019,17:17,Ewallet,4.7,5.313457077557497
38,333-73-7901,Naypyitaw,Normal,Female,Health and beauty,54.92,461.328,3/23/2019,13:24,Ewallet,7.6,4.77269854135871
39,777-82-7220,Mandalay,Member,Male,Home and lifestyle,30.12,253.008,3/3/2019,13:01,Cash,7.7,4.77269854135871
40,280-35-5823,Mandalay,Member,Female,Home and lifestyle,86.72,91.056,1/17/2019,18:45,Ewallet,7.9,0.0
41,554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,56.11,117.831,2/2/2019,10:11,Cash,6.3,0.8963814118829055
42,354-25-5821,Mandalay,Member,Female,Sports and travel,69.12,435.456,2/8/2019,13:03,Cash,5.6,3.6279173241050797
43,228-96-1411,Naypyitaw,Member,Female,Food and beverages,98.7,829.08,3/4/2019,20:39,Cash,7.6,4.77269854135871
44,617-15-4209,Naypyitaw,Member,Male,Health and beauty,15.37,32.277,3/16/2019,19:47,Cash,7.2,0.8963814118829055
45,132-32-9879,Mandalay,Member,Female,Electronic accessories,93.96,394.632,3/9/2019,18:00,Cash,9.5,2.365358807678416
46,370-41-7321,Mandalay,Member,Male,Health and beauty,56.69,535.7205,2/27/2019,17:24,Credit card,8.4,5.313457077557497
47,727-46-3608,Mandalay,Member,Female,Food and beverages,20.01,189.0945,2/6/2019,15:47,Ewallet,4.1,5.313457077557497
48,669-54-1719,Mandalay,Member,Male,Electronic accessories,18.93,119.259,2/10/2019,12:45,Credit card,8.1,3.6279173241050797
49,574-22-5561,Naypyitaw,Member,Female,Fashion accessories,82.63,867.615,3/19/2019,17:08,Ewallet,7.9,5.837182227666667
50,326-78-5178,Naypyitaw,Member,Male,Food and beverages,91.4,671.79,2/3/2019,10:19,Cash,9.5,4.212101622901667
